namaste_code,name
AD-10,kaphōlbaṇa-vātamadhya-hīnapittaḥ
AD-11,vātōlbaṇa-pittamadhya-hīnakaphasannipātaḥ
AD-12,pittōlbaṇa-vātamadhya-hīnakaphasannipātaḥ
AD-13,samasannipātaḥ
SR40(B),dhātuvaiṣamyam
BA,rasavaiṣamyam
SR42(BA-1),rasakṣayaḥ
SR41(BA-2),rasavṛddhiḥ
BB,raktavaiṣamyam
SR44(BB-1),raktakṣayaḥ
SR43(BB-2),raktavṛddhiḥ
BB-3,nan
BB-4,nan
BB-5,nan
BB-6,nan
BC,nan
SR46(BC-1),māṃsakṣayaḥ
SR45(BC-2),māṃsavṛddhiḥ
BD,nan
SR48(BD-1),medaḥkṣayaḥ
SP62(BD-2),medovṛddhiḥ
BE,nan
SR4A(BE-1),asthikṣayaḥ
SR49(BE-2),asthivṛddhiḥ
BF,nan
SR4C(BF-1),majjākṣayaḥ
SR4B(BF-2),majjāvṛddhiḥ
BG,nan
SR4E(BG-1),śukrakṣayaḥ
SR4D(BG-2),śukravṛddhiḥ
BA-3,nan
SR4K(BA-3.1),ārtavakṣayaḥ
SR4J(BA-3.2),ārtavavṛddhiḥ
BA-4,nan
SN10(BA-4.1),stanyakṣayaḥ
SR4L(BA-4.2),stanyavṛddhiḥ
SP93(BH),ojovaiṣamyam
SR4F(BH-1),ojaḥkṣayaḥ
SR4H(BH-2),ojovisraṃsaḥ
SR4G(BH-3),ojovyāpat
SP5B (BI),rājayakṣmā
BI-1,nan
BI-2,nan
SN45(CC-2),svedavṛddhiḥ
BI-3,vēgarōdhaja-rājayakṣmā
BI-4,viṣamāśanaja-rājayakṣmā
BI-5,kṣayaja-rājayakṣmā
BI-6,vyavāyajanyarājayakṣmā
BI-7,śōṣajanyarājayakṣmā
BI-8,śōkajanyarājayakṣmā
BI-9,vārdhakyajanyarājayakṣmā/jarāśōṣaḥ
BI-10,vyāyāmajanyarājayakṣmā
BI-11,adhvajanya-rājayakṣmā/śōṣa
BI-12,vraṇajanyarājayakṣmā
BI-13,uraḥkṣatajanyarājayakṣmā
BI-14,vātikarājayakṣmā
BI-15,paittikarājayakṣmā
BI-16,kaphajarājayakṣmā
BI-17,yakṣmajajvaraḥ
BI-18,yakṣmajaśiraḥśūlaḥ
BI-19,asādhya-rājayakṣmā/asādhyaśōṣa
BI-20,cikitsya-rājayakṣmā
BI-21,rājayakṣmā-upadravaḥ
BI-22,yakṣmā-ariṣṭaḥ
BJ,atikārśyam
C,malavaiṣamyam
CA,mūtravaiṣamyam
SR83 (CA-1),mūtrakṣayaḥ
SR82(CA-2),mūtravṛddhiḥ
CB,nan
SR81,purīṣakṣayaḥ
SR80(CB-2),purīṣavṛddhiḥ
SR86(CB-3),sāmamalaḥ
CC,nan
SR85(CC-1),svedakṣayaḥ
CZ-1,nan
SS10(D),agnivaiṣamyam
SS15(DA),āmadoṣaḥ
DA-1,nan
DB,nan
DB-1,nan
SS13(DB-1.1),"mandāgniḥ,"
SS11(DB-2),viṣamāgniḥ
SS12(DB-3),tīkṣṇāgniḥ
SS14(DB-4),"atyagniḥ,"
SR5Z€,srotovaiṣamyam
EA,nan
SR57(EA-1),prāṇavahasrotoduṣṭiḥ
SM74(EA-2),hikkā
EA-2.1,nan
EA-2.2(SM74),mahatīhikkā
EA-2.3(SM74),gambhīrāhikkā
EA-2.4(SM74),"vyapetāhikkā,"
EA-2.5(SM74),kṣudrā hikkā
EA-2.6,annajāhikkā
EA-2.7,asādhya-hikkā
EA-2.8,hikkā-ariṣṭaḥ
SL41(EA-3),kāsaḥ
EA-3.1,kāsa-pūrvarūpam
EA-3.2,vātajakāsaḥ
EA-3.3,pittajakāsaḥ
EA-3.4,kaphajakāsaḥ
EA-3.5,kṣatajakāsaḥ
EA-3.6,kṣayajakāsaḥ
EA-3.7,kāsa-upadravaḥ
EA-3.8,kāsa-ariṣṭaḥ
SL42(EA-4),śvāsaḥ
EA-4.1,śvāsa-pūrvarūpam
EA-4.2,mahāśvāsaḥ
EA-4.3,ūrdhvaśvāsaḥ
EA-4.4,chinnaśvāsaḥ
SL40(EA-4.5),tamakaśvāsaḥ
EA-4.5.1(SL40),pratamakaśvāsaḥ
EA-4.5.2(SL40),santamakaśvāsaḥ
EA-4.6,nan
EA-4.7,nan
EA-4.8,nan
SL03(EA-5),svarabhedaḥ
EA-5.1,nan
EA-5.2,nan
EA-5.3,nan
EA-5.4,nan
EA-5.5,nan
EA-5.6,nan
EA-5.7,nan
EA-5.8,nan
EA-5.9,nan
EA-6,nan
EB,nan
SR59(EB-1),annavahasrotoduṣṭiḥ
SM37(EB-2),atisāraḥ
EB-2.1,atisāra-pūrvarūpam
EB-2.2,vātaja-atisāraḥ
EB-2.2.1,pakvavātikātisāraḥ
EB-2.3,pittaja-atisāraḥ
EB-2.4,kaphaja-atisāraḥ
EB-2.5,sānnipātaja-atisāraḥ
EB-2.6,bhayaja-atisāraḥ
EB-2.7,śōkaja-atisāraḥ
EB-2.8,āmātisāraḥ
EB-2.9,jvarātisāraḥ
EB-2.10,raktātisāraḥ
EB-2.11,kr̥cchrasādhya-atisāraḥ
EB-2.12,asādhya-atisāraḥ
EB-2.13,atisāramuktiḥ
EB-2.14,pakva-atisāraḥ
EB-2.15,dōṣavibandhaja-atisāraḥ
EB-2.16,snēhōlvaṇa-atisāraḥ
EB-2.17,atisāra-ariṣṭaḥ
SM3B(EB-3),ajīrṇam
EB-3.1,viṣṭabdhajanya-ajīrṇam/vātaja-ajīrṇam
EB-3.2,vidagdhajanya-ajīrṇam/pittaja-ajīrṇam
EB-3.3,āmaja-ajīrṇam/kaphaja-ajīrṇam
EB-3.4,rasaśēṣajanya-ajīrṇam
EB-3.5,dinapāki-ajīrṇam
EB-3.6,prativāsara-ajīrṇam
SM76(EB-3.7),visūcikā
EB-3.7.1,vātika-visūcikā
EB-3.7.2,paittika-visūcikā
EB-3.7.3,kaphaja-visūcikā
EB-3.7.4,asādhya-visūcikā
EB-3.7.5,visūcikā-upadravaḥ
EB-3.8(SM34),vilambikā
SM3C(EB-3.9),alasaka
EB-3.9.1,alasaka-pūrvarūpam
EB-3.9.2,daṇḍālasakaḥ
EB-3.9.3,vātika-alasakaḥ
EB-3.9.4,paittika-alasakaḥ
EB-3.9.5,kaphaja-alasakaḥ
EB-3.10,madyaja-ajīrṇam
EB-3.11,ajīrṇa-upadravaḥ
SM39(EB-4),amlapittam
EB-4.1(SM39),ūrdhvagata-amlapittam
EB-4.2(SM39),adhōga-amlapittam
EB-4.3,vātika-amlapittam
EB-4.4,kaphaja-amlapittam/ślēṣmapittam
EB-4.5,vātakapha-amlapittam
EB-4.6,kaphapaittika-amlapittam
AAC-12.2,āmaja-ānāhaḥ
AAC-12.3,purīṣaja-ānāhaḥ/purīṣa śūla/pakvāśayajānāhaḥ
SM71(EB-5),arocakaḥ
EB-5.1,vātaja-arōcakaḥ
EB-5.2,pittaja-arōcakaḥ
EB-5.3,kaphaja-arōcakaḥ
EB-5.4,sānnipātaja-arōcakaḥ
EB-5.5,āgantuja-arōcakaḥ
EB-5.6,śōkaja-arōcakaḥ
EB-5.7,bhayaja-arōcakaḥ
EB-5.8,krōdhaja-arōcakaḥ
EB-5.9,aśucigandhaja-arōcakaḥ/ahr̥dyagandhaja-arōcakaḥ
EB-5.10,rāgajanya-arōcakaḥ
EB-5.11,cintājanya-arōcakaḥ
EB-5.12,aśūcidarśanajaya-arōcakaḥ
EB-5.13,atilōbhajanya-arōcakaḥ
EB-5.14,dvēṣaja-arōcakaḥ
EB-5.15,cittaviparyayaja-arōcakaḥ/manassantāpaja-arōcakaḥ
EB-5.16,abhighātaja-arōcakaḥ
SM3L(EB-6),chardiḥ
EB-6.1,nan
SM3J(EB-6.2),vātaja-chardiḥ
EB-6.3,pittaja-chardiḥ
EB-6.4,kaphaja-chardiḥ
EB-6.5,sānnipātaja-chardiḥ
EB-6.6,āgantuja-chardiḥ
EB-6.6.1,bībhatsaja-chardiḥ/dviṣṭārthaja-chardiḥ
EB-6.6.2,dauhr̥daja-chardiḥ
EB-6.6.3,āmaja-chardiḥ
EB-6.6.4,asātmyaja-chardiḥ
EB-6.7,kr̥mija-chardiḥ
EB-6.8,asādhya-chardiḥ
EB-6.9,chardi-upadravāḥ
EB-6.10,chardi-ariṣṭaḥ
SM36(EB-7),grahaṇīl
EB-7.1,grahaṇī-pūrvarūpam
EB-7.2,vātajagrahaṇīdōṣaḥ
EB-7.3,pittajagrahaṇīdōṣaḥ
EB-7.4,kaphajagrahaṇīdōṣaḥ
EB-7.5,āmajagrahaṇīdōṣaḥ
EB-7.6,sānnipātajagrahaṇīdōṣaḥ
EB-7.7,saṁgrahagrahaṇī
EB-7.8,ghaṭīyantragrahaṇī
EB-7.9,nirāma-grahaṇī
SM3K(EB-8),gulmaḥ
EB-8.1,gulma-pūrvarūpam
EB-8.2,vātajagulmaḥ
EB-8.3,pittajagulmaḥ
EB-8.4,kaphajagulmaḥ
EB-8.5,raktajagulmaḥ
EB-8.6,sānnipātajagulmaḥ
EB-8.7,dvandvajagulmaḥ
EB-8.8,vidahyamānagulmaḥ
EB-8.9,apakvagulmaḥ
EB-8.10,pakvagulmaḥ
EB-8.11,asādhya-gulmaḥ
EB-8.12,antargulmaḥ
EB-8.13,bāhyagulmaḥ
EB-8.14,gulma-upadravaḥ
EB-8.15,gulma-ariṣṭaḥ
SM38(EB-9),pravāhikā
EB-9.1,vātika-pravāhikā
EB-9.2,paittika-pravāhikā
EB-9.3,kaphaja-pravāhikā
SM72(EB-9.4),raktaja-pravāhikā
SM33(EB-10),śūlaḥ
EB-10.1,vātajaśūlaḥ
EB-10.2,pittajaśūlaḥ
EB-10.3,kaphajaśūlaḥ
EB-10.4,sānnipātikaśūlaḥ
EB-10.5,āmaśūlaḥ
EB-10.6,kukṣiśūlaḥ
EB-10.7,dvandvajaśūlaḥ
SM3F(EB-10.8),vātapaittikaśūlaḥ
EB-10.9,nan
SM3D(EB-10.10),pariṇāmaśūlaḥ
EB-10.10.1,nan
EB-10.10.2,nan
EB-10.10.3,nan
SM3E(EB-10.11),annadravaśūlaḥ
EB-10.12,nan
EB-10.13,nan
EB-10.14,nan
SM70(EB-10.15),pārśvarujaḥ
EB-10.16,trikaśūlaḥ
EB-10.17,mūtraśūlaḥ
EB-10.18,purīṣaśūlaḥ
EB-10.19,avipākajaśūlaḥ
SM35(EB-11),udāvartaḥ
EB-11.1,udāvarta-pūrvarūpam
EB-11.2,vātanigrahaja-udāvartaḥ
EB-11.3,mūtrābhighātaja-udāvartaḥ
EB-11.4,purīṣābhighātaja-udāvartaḥ
EB-11.5,śukrābhighātaja-udāvartaḥ
EB-11.6,chardinigrahaja-udāvartaḥ
EB-11.7,kṣavathunigrahaja-udāvartaḥ
EB-11.8,jr̥mbhānigrahaja-udāvartaḥ
EB-11.9,aśrunigrahaja-udāvartaḥ
EB-11.10,udgāranigrahaja-udāvartaḥ
EB-11.11,kṣunninirōdhaja-udāvartaḥ
EB-11.12,tr̥ṣṇānirōdhaja-udāvartaḥ
EB-11.13,śvāsanirōdhaja-udāvartaḥ/śramaśvāsavēgarōdha-janyōdāvartaḥ
EB-11.14,nidrārōdhaja-udāvartaḥ
EB-11.15,kāsāvarōdhaja-udāvartaḥ
EB-11.16,śramaśvāsavēgarōdhaja-udāvartaḥ
EB-11.17,rūkṣādibhōjana-nimittōdāvartaḥ
EB-11.18,asādhya-udāvartaḥ
EB-11.19,udāvarta-upadravaḥ
SM51(EB-12),parikartikā
EB-13,nan
SR5A(EB-14),purīṣavahasrotoduṣṭiḥ
EC,nan
